1;140
2;170
3;157
4;140
5;135
6;160
7;140
8;140
9;170
10;145
11;150
12;155
13;140
14;150
15;146
16;145
17;155
18;158
19;177
20;166
21;125
22;134
23;155
24;175
25;145
26;189
27;210
28;216
29;236
30;225
31;225
32;223
33;224
34;220
35;210
36;205
37;245
38;230
39;215
40;233
41;215
42;246
43;200
44;210
45;258
46;234
47;220
48;225
49;283
50;225
51;223
52;190
53;221
54;205
55;225
56;225
57;180
58;228
59;255
60;271
61;305
62;235
63;245
64;235
65;265
66;275
67;265
68;324
69;213
70;265
71;270
72;255
73;225
74;295
75;225
76;229
77;230
78;290
79;205
80;279
81;220
82;270
83;247
84;253
85;275
86;225
87;255
88;225
89;270
90;218
91;240
92;230
93;280
94;195
95;310
96;238
97;262
98;250
99;286
100;251
101;215
102;295
103;237
104;289
105;231
106;240
107;230
108;240
109;272
110;233
111;200
112;295
113;241
114;255
115;280
116;305
117;235
118;274
119;220
120;208
121;270
122;253
123;195
124;206
125;285
126;258
127;278
128;252
129;255
130;230
131;255
132;225
133;230
134;260
135;234
136;215
137;253
138;230
139;279
140;260
141;227
142;235
143;230
144;246
145;270
146;239
147;280
148;240
149;235
150;190
151;265
152;255
153;220
154;265
155;255
156;230
157;276
158;260
159;270
160;260
161;250
162;286
163;305
164;235
165;215
166;245
167;232
168;300
169;288
170;275
171;265
172;265
173;200
174;247
175;273
176;200
177;240
178;235
179;275
180;284
181;223
182;250
183;215
184;244
185;230
186;226
187;260
188;253
189;262
190;270
191;270
192;262
193;235
194;230
195;265
196;235
197;240
198;280
199;200
200;239
201;240
202;290
203;250
204;245
205;210
206;235
207;217
208;246
209;245
210;235
211;229
212;260
213;190
214;265
215;235
216;200
217;245
218;235
219;235
220;280
221;250
222;265
223;235
224;240
225;275
226;260
227;298
228;260
229;255
230;260
231;270
232;240
233;275
234;245
235;265
236;248
237;270
238;210
239;220
240;205
241;245
242;238
243;245
244;295
245;268
246;240
247;215
248;235
249;167
250;145
251;145
252;160
253;160
254;136
255;157
256;169
257;133
258;145
259;160
260;165
261;197
262;210
263;193
264;220
265;219
266;224
267;240
268;197
269;215
270;200
271;185
272;188
273;233
274;220
275;220
276;215
277;209
278;191
279;235
280;210
281;230
282;235
283;185
284;214
285;220
286;189
287;220
288;220
289;205
290;224
291;210
292;221
293;240
294;239
295;230
296;190
297;205
298;225
299;240
300;185
301;217
302;224
303;220
304;215
305;241
306;195
307;210
308;215
309;255
310;188
311;211
312;235
313;167
314;180
315;194
316;200
317;195
318;203
319;184
320;225
321;225
322;213
323;241
324;286
325;220
326;215
327;195
328;225
329;212
330;210
331;225
332;190
333;196
334;231
335;196
336;205
337;205
338;220
339;255
340;205
341;183
342;161
343;210
344;200
345;160
346;235
347;183
348;195
349;203
350;172
351;215
352;175
353;176
354;220
355;230
356;215
357;205
358;186
359;185
360;187
361;190
362;215
363;177
364;202
365;210
366;232
367;185
368;181
369;204
370;211
371;230
372;185
373;208
374;185
375;225
376;214
377;203
378;206
379;240
380;260
381;215
382;220
383;253
384;247
385;192
386;201
387;161
388;190
389;189
390;171
391;195
392;195
393;210
394;185
395;182
396;150
397;136
398;155
399;129
400;130
401;160
402;160
403;135
404;137
405;141
406;143
407;156
408;160
409;183
410;159
411;136
412;163
413;195
414;156
415;170
416;140
417;155
418;160
419;157
420;166
421;160
422;125
423;140
424;150
425;170
426;196
427;156
428;175
429;167
430;195
431;175
432;230
433;178
434;150
435;165
436;217
437;231
438;210
439;210
440;180
441;178
442;200
443;205
444;205
445;165
446;175
447;185
448;180
449;186
450;199
451;195
452;219
453;196
454;200
455;195
456;220
457;170
458;219
459;175
460;215
461;195
462;177
463;215
464;181
465;205
466;180
467;172
468;195
469;170
470;195
471;195
472;200
473;185
474;200
475;170
476;160
477;190
478;190
479;196
480;205
481;193
482;223
483;220
484;204
485;170
486;195
487;183
488;210
489;200
490;210
491;238
492;225
493;210
494;205
495;169
496;185
497;215
498;210
499;190
500;157
501;159
502;155
503;143
504;198
505;157
506;180
507;169
508;151
509;185
510;161
511;151
512;160
513;153
514;181
